0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Hindbærsaft, sød, koncentreret;296;0;724;173;6,25;0,08;0,5;0,5;41;41;41;40;0;0,5;0,7;0;0,2;42,2;57,8;;;;;;;;;;;;;;;;;0,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,029;;0,005;;;;;;;;;;0,034;;;;;;;;;;;0,153;;;0,13;;;;;;;;;;;;;0,034;0,034;0,283;0,351;0,13;0,153;0;;;;;;;;;;6;;;;;;;;;25
Hirse, hele korn;297;0;1505;360;5,83;1,89;11;11,8;72,8;64,3;63,5;0;8,5;4,2;0,8;0;3,3;91,3;8,7;0;0;0;0;0;;0,05;0,05;;;;;0,421;;;0,29;6,27;4,72;0,75;;;30;;0;0;0;;;0,4;220;9,5;100;240;4,8;0,49;3,4;5;0,71;3,2;16;10;2;199;0,1;7,9;2,81;8,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;765;1440;357;302;;580;;278;93;769;556;225;983;718;2457;284;869;
Hirseflager;298;0;1566;374;5,83;2,075;12,1;13;73,9;71,9;71;0;2;3,3;0,8;0;0,9;90,2;9,8;0;0;0;0;0;;0,05;0,05;;;;;0,421;;;0,29;6,42;4,72;0,75;;;;;0;0;0;;;0,4;220;9,5;100;240;4,8;0,49;3,4;5;0,71;0,8;16;10;2;120;0,1;7,9;1,5;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;840;1581;392;332;;637;;305;102;845;610;247;;;;;;14
Hjerte, høne (kylling), råt;299;0;622;149;6,25;2,488;15,6;15,6;0,7;0,7;0,7;0;0;9,3;0,83;0;0,8;26,4;73,6;9;9;0;;;;;;;;;;0,306;;;0,728;8,2;4,88;0,234;2,56;;45;;7,29;3,2;3,2;;;64;177;12;17;177;5,96;0,346;6,59;;0,089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,7;;;;;;0;;;;;0;0;0,06;;1,45;;0,782;;;;;;;0,39;;;1,98;;;;0;;0;;;;;1,91;;;0,07;;;;;;;0,72;0;0;0;;;2,292;2,37;2,7;7,362;0,07;2,63;0;136;821;1344;1294;373;211;697;547;697;199;871;995;398;970;1518;2314;871;796;
Hjerte, kalv, råt;300;22;446;107;6,25;2,384;14,9;14,9;3,3;3,3;3,3;0;0;3,7;0,79;0;1,1;23;77;6;6;0;1;1;;0,8;0,8;;;;0;0,345;;;0,67;33,4;6;0,314;2,8;7,3;20;;12;5;5;;;104;261;4,42;22;215;3,6;0,29;1,4;1,9;0,032;0,3;14;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1,8;;;;;;;;0;0;0;0;0;0,035;;0,518;0,038;0,61;0,008;0;0;;0;;0,036;;;0,649;0;;;0,013;;0;0;;0;;0,406;;;0,027;;0;0;;0,099;0,021;;0,021;0,019;0;;0;1,209;0,698;0,593;2,5;0,067;0,406;0;150;715;1359;1383;381;155;691;548;691;1645;57;930;405;930;1383;2146;811;691;539
Hjerte, okse, råt;301;26;432;103;6,25;2,835;17,7;17,7;1;1;1;0;0;3,1;0,79;0;1,1;22,9;77,1;0;0;0;1;1;;0,2;0,2;;;;0;0,335;;;0,75;40,1;7,5;0,26;2,5;2;20;2;10;2;2;;;95;240;3,95;17;214;4,2;0,31;1,4;1,8;0,032;0,3;14;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,7;;;;;;;;0;0;0;0;0;0,045;;0,529;0,032;0,681;0,008;0;0;;0;;0,034;;;0,636;0;;;0,008;;0;0;;0;;0,369;;;0,032;;0;0;;0,143;0,03;;0,023;0,021;0,005;;0;1,295;0,678;0,623;2,596;0,081;0,369;0;150;851;1616;1644;454;184;822;652;822;1956;68;1106;482;1106;1644;2552;964;822;539
Hjerte, svin, råt;302;11;432;103;6,25;2,72;16,1;16,1;0;0;0;0;0;4,3;0,78;0;1;21,4;78,6;6;6;0;0,513;0,078;0,087;0,2;0,2;;;;0;0,44;;;1;9,82;6,5;0,438;2,5;18,2;9;1;2,7;3;3;;;107;298;5,29;21;204;6;0,41;2,1;1,1;0,038;1;12,1;0;;1;0,2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,4;;;;;;;;0;0;0;0;0;0,032;;0,652;0,028;0,505;0,006;0;0;;0;;0,049;;;0,989;0;;;0,018;;0;0;;0;;0,681;;;0,028;;0;0,018;;0,257;0,018;;0,008;0,029;0,008;;0;1,223;1,056;1,047;3,326;0,073;0,699;0;131;762;1442;1578;408;150;680;598;734;199;925;1061;435;1088;1523;2394;1006;843;46
Honning;303;0;1391;332;6,25;0,048;0,3;0,3;81,5;81,5;81,5;0;0;0;0,8;0;0,2;82;18;0;0;0;0;0;;0;0;;;;25;0;;;0,1;0,117;0,1;0,16;0,07;0;0;;0;1,1;1,1;;;11;51;5;2,9;7,2;0,4;0,031;0,35;0,5;0,37;5;0;0;;9;0,02;0;0,094;2,63;;;;;;;;;0,03;;;;;;;;;;38,8;;33,9;72,7;;;2,4;2,4;;;75,1;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;526
Honningmelon, rå;304;39;116;28;6,25;0,088;0,6;0,6;6,1;5,5;5,5;0;0,6;0,2;0,7;0;0,5;7,4;92,6;1,38;0;16,5;0;0;;0,05;0,05;;;;0;0,025;;;0,019;0,751;0,734;0,056;0,105;;14,9;;0;10,2;10,2;;;28,3;228;5,98;8,6;20,5;0,518;0,041;0,081;0;0,041;0;0;0;0;7;0,2;3;1;3;;;;;;;;;;;;;;;;;;;1,48;;1,35;2,83;;;1,45;1,45;;;4,28;;;;;;;;;;;;0,6;;;;;;;;;0,046;;0,01;;;;;;;0,005;;;0,023;;;;;;;;;;;0,027;;;0,042;;;;;;;0;;;;;;0,056;0,028;0,069;0,153;0,042;0,027;0;0;14;19;14;2;1;18;9;11;1;22;19;10;62;88;141;17;12;274
Hornfisk, rå;305;42;451;108;6,25;3,224;19,5;19,5;0;0;0;;0;3,2;0,81;0;1,2;23,9;76,1;3,1;3,1;0;5,16;5,16;0;0,76;0,76;;;;0;0;;;0,105;10,8;7,1;0,405;0,48;4,2;1;1;7,7;0,433;0,433;;;62;301;79;23,4;213;0,61;0,064;2,72;19;0,018;6;29,5;;;2,2;7,62;37,1;0,218;0,449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;0;0;0,071;0,001;0,492;;0,089;0;0;0;;;;0,177;;;0,559;0,084;;0,031;;;0;0,015;;0,029;;0,082;;;0,039;;0,026;0,011;0,014;;0;0,025;0,122;0,086;0,662;;0,046;0,653;0,895;1,067;2,661;0,935;0,118;0;85;967;1451;1773;580;164;774;709;870;222;1096;1257;677;1322;1838;2547;1096;709;20
Hot dog, almindelig, fastfood;306;0;1070;256;6,25;1,36;8,5;8,5;22,4;20,8;20,8;;1,6;15,1;0,881;0;2,2;48,2;51,8;;;;;;;;;;;;;0,201;0,18;0,021;0,064;;;;;;;;;;;;963;654;185;28,6;19,7;112;0,788;0,082;0,81;;0,251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0,14;0;2,935;0;1,275;0;0;0;;0;;0,261;0;0;5,8;0,41;0,035;0;0,151;0;0,125;0;0;0;;1,783;0;0,01;0,403;0;0;0;0;;;0;0;0;0;;0;4,35;6,782;2,196;13,328;0,403;1,783;0,035;;;;;;;;;;;;;;;;;;;
Hummer, kogt;307;72;379;90;6,25;2,992;18,7;18,7;0,3;0,3;0,3;0;0;1,5;0,77;0;2,7;23,2;76,8;0;0;0;0;0;;2,2;2,2;;;;0;0,05;;;0,02;4,98;1,5;0,21;1,63;5;17;7;0,5;0;0;;;1240;135;85;47;192;0,8;1,7;1,8;140;;2,06;38,1;;;4,7;5,14;490;11,5;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,3;;;;;;;;;;;;0;0,017;0,012;0,125;0,017;0,057;0;0;;;0;;0,068;;0;0,205;;;;0,045;;0,051;;;;;0,045;;;0,062;;;;;0;;0,006;0,29;0,017;0,136;;;0,228;0,369;0,556;1,153;0,505;0,051;0;129;868;1616;1466;539;239;748;688;868;209;898;1556;359;1257;2035;2932;1227;808;278
Hummer, konserves;308;0;379;90;6,25;2,992;18,7;18,7;0,3;0,3;0,3;0;0;1,5;0,73;0;2,7;23,2;76,8;0;0;0;0;0;;2,2;2,2;;;;0;0,05;;;0,02;4,98;1,5;0,21;1,63;5;17;7;0,5;0;0;;;1240;135;85;47;192;0,8;1,7;1,8;140;;2,06;38,1;;;4,7;5,14;490;11,5;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,3;;;;;;;;;;;;0;0,016;0,011;0,119;0,016;0,054;0;0;;;0;;0,065;;0;0,195;;;;0,043;;0,049;;;;;0,043;;;0,059;;;;;0;;0,006;0,275;0,016;0,129;;;0,216;0,352;0,528;1,096;0,479;0,049;0;129;868;1616;1466;539;239;748;688;868;209;898;1556;359;1257;2035;2932;1227;808;
Hummer, rå;309;72;393;94;6,25;3,136;19,6;19,6;0,7;0,7;0,7;0;0;1,3;0,77;0;2,4;24;76;0;0;0;0;0;;1,5;1,5;;;;0;0,085;;;0,05;5,67;2;0,21;1,5;5;17;7;6,3;3;3;;;538;138;48;29;144;0,3;0,7;4,6;700;0,04;2,06;38,1;23;;4,7;5,14;490;11,5;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,8;;;;;;;;;;;;0;0,015;0,01;0,109;0,015;0,05;0;0;;;0;;0,059;;0;0,178;;;;0,04;;0,044;;;;;0,04;;;0,054;;;;;0;;0,005;0,251;0,015;0,118;;;0,199;0,321;0,483;1,003;0,438;0,045;0;129;909;1693;1537;564;251;784;721;909;220;941;1631;376;1317;2132;3073;1286;847;
Hvalkød, råt;310;0;468;112;6,25;3,76;22,3;22,3;0;0;0;;0;2,4;0,91;0;1;25,7;74,3;;;;;;;;;;;;;0,1;;;0,22;;;;;;;;;0;0;;;93;320;;33;195;3,7;;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hvedebrød med fedtrige frø, store, industrifremstillet;311;0;1072;256;5,83;1,605;9,4;10;45,2;39,4;38,8;0;5,8;5,3;0,922;0;1,9;61,8;38,3;0;0;0;0;0;;0,5;0,5;;;;;0,185;0,165;0,02;0,073;1,12;1,12;0,053;0,307;3,7;24;;0,087;0;0;;282;445;182;30,1;40,3;128;1,55;0,197;1,11;16,6;0,74;5,8;3,57;;;14,2;;;4,17;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,9;;;;;;;;;;0;0;0;0;;1,13;;0,183;0;0;;;;;0;;;1,49;0,056;0;;0;;;;;;;1,11;;;0,94;;;;;;;;;;;;;1,313;1,546;2,05;4,909;0,94;1,11;0;0;;;;;;;;;0;;;;;;;;;757
Hvedebrød, bolle, fin, industrifremstillet;312;0;1147;274;5,83;1,514;8,8;9,5;54;51,2;50,6;0;2,8;2,8;0,893;0;1,7;67,3;32,7;0;0;0;0;0;;0,5;0,5;;;;;0,178;0,148;0,03;0,053;1,47;1,47;0,053;0,342;2;28,5;;0,04;0;0;;276;461;133;26,1;21,9;96,4;0,988;0,13;0,731;20,9;0,504;3,34;5,73;;;4,47;;;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,7;;;;;;;;;;0;0;0;0,008;;0,478;;0,09;0,004;0,004;;;;;0,01;;;0,82;0,039;0;;0,007;;;;;;;0,958;;;0,079;;;;;;;;;;;;;0,584;0,876;1,037;2,497;0,079;0,958;0;0;;;;;;;;;0;;;;;;;;;
Hvedebrød, bolle, grov, industrifremstillet;313;0;1040;249;5,83;1,443;8,4;9;50;44,1;43,5;;5,9;2,7;0,87;0;1,7;62,8;37,2;0;0;0;0;0;;0,5;0,5;;;;;0,202;0,169;0,033;0,083;1,67;1,67;0,079;0,314;2,84;42;;0,083;0;0;;446;411;175;44,1;30,7;118;1,52;0,136;0,982;21,9;0,727;6,06;3,6;;;6,93;;;2,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,2;;;;;;;;;;0;0;0;0,013;;0,645;;0,203;0;0;;;;;0,022;;;0,648;0,027;0;;0;;;;;;;0,735;;;0,047;;;;;;;;;;;;;0,861;0,697;0,782;2,34;0,047;0,735;0;0;;;;;;;;;0;;;;;;;;;25
Hvedebrød, bolle, grov, med fedtrige frø, industrifremstillet;314;0;1218;291;5,83;1,587;9,3;9,9;50,4;45,8;45,2;0;4,6;6,6;0,882;0;1,9;68,2;31,8;0;0;0;0;0;;0,5;0,5;;;;;0,238;0,211;;0,07;1,72;1,72;0,109;0,366;4,88;38;;0,089;0;0;;241;386;179;50,3;43,1;139;1,35;0,219;1,06;19,7;0,732;2,08;6,86;;;19,5;;;4,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,3;;;;;;;;;;0;0;0;0,009;;0,851;;0,258;0;0,022;;;;;0;;;1,478;0,054;0;;0,008;;;;;;;2,634;;;0,537;;;;;;;;;;;;;1,14;1,54;3,171;5,851;0,537;2,634;0;0;;;;;;;;;0;;;;;;;;;15
Hvedebrød, bolle, italiensk, industrifremstillet;315;0;1126;269;5,83;1,55;9;9,7;54,8;51,9;51,2;0;2,9;1,8;0,901;0;1,9;67,5;32,5;0;0;0;0;0;;0,5;0,5;;;;;0,167;0,147;0,02;0,043;1,26;1,26;0,068;0,343;2,05;25,8;;0;0;0;;426;482;124;29,8;22,4;95,4;0,958;0,129;0,7;18,4;0,516;3,23;5,92;;;3,91;;;2,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,4;;;;;;;;;;0;0;0;0;;0,341;;0,036;0;0;;;;;0,015;;;0,534;0,03;0;;0,004;;;;;;;0,616;;;0,047;;;;;;;;;;;;;0,377;0,583;0,663;1,623;0,047;0,616;0;0;;;;;;;;;0;;;;;;;;;
Hvedebrød, fint, store, detailbageri;316;0;1157;277;5,83;1,441;8,4;9;53,3;50,2;49,6;;3,1;3,7;0,875;0;1,7;67;33;;;;;;;;;;;;;0,141;0,12;0,021;0,063;1,22;1,22;;0,287;1,93;38,2;;0,064;;;;287;476;127;35,6;22,2;102;0,869;0,11;0,611;21,1;0,467;2,5;2,2;;;4,37;;;2,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,1;;;;;;;;;;0,007;0,006;0,051;0,035;;0,803;;0,137;0,001;0;;;;;0,005;;;0,989;0,051;0,028;;0,016;;;;;;;1,036;;;0,114;;;;;;;;;;;;;1,04;1,089;1,15;3,279;0,114;1,036;0,028;;;;;;;;;;;;;;;;;;;
Hvedebrød, fint, store, industrifremstillet;317;0;1096;262;5,83;1,503;8,8;9,4;50;47;46,4;;3,1;3,4;0,865;0;1,6;63,7;36,3;0;0;0;0;0;;0,5;0,5;;;;;0,143;0,12;0,023;0,059;1,13;1,13;0,053;0,272;1,77;24,8;;0,097;0;0;;552;452;114;32,2;18,4;85,3;0,979;0,107;0,609;19,7;0,433;5,87;2;;;3,76;;;2,25;1,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,2;;;;;;;;;;0;0;0,002;0,031;;0,984;;0,136;0;0;;;;;0,005;;;1,029;0,041;0;;0,003;;;;;;;0,742;;;0,076;;;;;;;;;;;;;1,153;1,078;0,818;3,049;0,076;0,742;0;;;;;;;;;;0;;;;;;;;;113
Hvedebrød, groft, fiberbrød;318;0;913;218;5,7;1,719;9,8;10,7;42,6;37,3;36,3;0;5,3;1,9;0,7;0;2,6;56,9;43,1;0;0;0;0;0;;0,5;0,5;;;0,1;0;0,45;;;0,44;2,72;1;0,09;0,5;1,9;21;;0;0;0;;;495;326;190;64,9;88;4,68;0,22;1,43;22;0,6;7;7,5;0;;35,9;0,4;0,04;4,1;7,3;;;;;;;;;;;;;;;;;;;0,2;;0,2;0,4;;;0,1;0,1;;0;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;430;739;241;160;189;516;241;292;103;499;395;223;327;481;3163;413;1135;
Hvedebrød, groft, kærnebrød;319;0;976;233;5,7;1,211;6,9;7,6;49,2;41;40,3;0;8,2;2,6;0,7;0;2,9;61,6;38,4;0;0;0;;;;;;;;;;0,4;;;0,3;1,22;;;;;;;;;;;;608;270;225;51,7;;4,52;;1,36;;;5,5;2,4;;;43,2;0,18;0,93;4,2;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;521;170;113;133;363;170;206;73;351;279;157;230;339;2228;291;799;
Hvedebrød, groft, med fedtrige frø, stort, detailbageri;320;0;1180;282;5,83;1,596;9,3;10;48,7;44,9;44,2;;3,8;6,1;0,875;0;1,8;66;34;;;;;;;;;;;;;0,206;0,184;;0,077;1,63;1,63;;0,314;5,46;43,9;;0,107;;;;304;558;193;45,9;49;157;1,31;0,226;1,06;22;0,741;2,52;5,39;;;28,4;;;3,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,3;;;;;;;;;;0,001;0,001;0,046;0,022;;0,784;;0,25;0;0,012;;;;;0,002;;;1,367;0,052;0,022;;0,002;;;;;;;2,435;;;0,423;;;;;;;;;;;;;1,116;1,445;2,858;5,419;0,423;2,435;0,022;;;;;;;;;;;;;;;;;;;
Hvedebrød, groft, store, detailbageri;321;0;1076;257;5,83;1,397;8,1;8,7;51,9;47,7;47,1;;4,3;2,5;0,875;0;1,8;64,4;35,6;;;;;;;;;;;;;0,186;0,157;0,029;0,076;1,58;1,58;;0,328;2,82;39;;0,096;;;;278;562;167;43,2;32,5;127;1,19;0,139;0,888;20,3;0,751;2,78;2,24;;;6,75;;;2,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,8;;;;;;;;;;0,002;0,002;0,028;0,018;;0,509;;0,098;0;0;;;;;0,009;;;0,576;0,03;0,006;;0,009;;;;;;;0,796;;;0,073;;;;;;;;;;;;;0,657;0,63;0,869;2,156;0,073;0,796;0,006;;;;;;;;;;;;;;;;;;;
Hvedebrød, groft, store, industrifremstillet;322;0;1090;260;5,83;1,53;8,9;9,6;48,6;44,2;43,6;0;4,4;4,1;0,858;0;1,7;63,4;36,7;5,5;0;66;0;0;;0,5;0,5;;;;;0,161;0,139;0,022;0,061;1,06;1,06;0,1;0,265;2,55;23;;0,097;0;0;;394;415;143;22,5;25,4;102;1,2;0,13;0,863;16,4;0,615;5,95;3,7;;;3,28;;;2,13;0,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,7;;;;;;;;;;0;0;0;0,027;;0,842;;0,113;0,011;0,018;;;;;0;;;1,433;0,069;0;;0,024;;;;;;;0,898;;;0,155;;;;;;;;;;;;;1,011;1,526;1,053;3,59;0,155;0,898;0;0;;;;;;;;;0;;;;;;;;;
Hvedebrød, italiensk, store, industrifremstillet;323;0;1091;261;5,83;1,433;8,4;9;52,1;49;48,4;;3,1;2,5;0,877;0;1,9;64,8;35,2;0;0;0;0;0;;0,5;0,5;;;;;0,139;0,115;0,024;0,044;1,13;1,13;0,053;0,302;1,76;28,3;;0;0;0;;405;473;119;23,3;19,9;85,7;0,897;0,112;0,634;19,4;0,501;3,71;4,71;;;3,53;;;2;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,2;;;;;;;;;;0;0;0;0;;0,392;;0,058;0;0;;;;;0,017;;;1,011;0,047;0;;0,007;;;;;;;0,669;;;0,064;;;;;;;;;;;;;0,45;1,082;0,733;2,265;0,064;0,669;0;0;;;;;;;;;0;;;;;;;;;16
Hvedebrød, italiensk, stort, detailbageri;324;0;1057;253;5,83;1,399;8,2;8,7;52,8;49,7;49,1;0;3,1;1,3;0,8;0;1,8;64,1;35,9;;;;;;;;;;;;;0,115;0,099;0,016;0,051;1,22;1,22;;0,28;2,06;29,6;;0,064;;;;289;602;124;28,9;21,6;97,8;0,843;0,138;0,614;19,2;0,468;2,79;4,21;;;4,7;;;2,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,5;;;;;;;;;;0;0;0,001;0,001;;0,275;;0,047;0;0;;;;;0,006;;;0,235;0,017;0;;0,007;;;;;;;0,538;;;0,044;;;;;;;;;;;;;0,324;0,265;0,582;1,171;0,044;0,538;0;;;;;;;;;;0;;;;;;;;;24
Hvedebrød, kastanjebrød;325;0;1091;261;5,7;1,396;8;8,7;49,8;45,1;44,3;0;4,7;4,1;0,7;0;1,7;63,6;36,5;;;;;;;;;;;;;0,238;;;0,125;1,52;;0,147;;;58;;;;;;;392;187;60,4;33,2;195;1,58;;0,802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0,133;;0,593;0;0,182;0,028;0,022;0,008;;0;;0,15;;;0,6;0;;;0,038;;0;0;;0,009;;0,845;;;0,178;;0;0;;0,05;0;;0;0;0;;0,036;0,966;0,797;1,073;2,872;0,178;0,845;0;;335;600;195;127;140;419;181;223;91;391;307;181;265;349;2722;293;935;158
Hvedebrød, sandwich/toastbrød med fedtrige frø, industrifremstillet;326;0;1131;270;5,83;1,425;8,3;8,9;48;44,2;43,6;0;3,8;5,6;0,899;0;1,6;63,5;36,5;0;0;0;0;0;;0,5;0,5;;;;;0,215;0,18;0,035;0,07;1,51;1,51;0,053;0,353;3,93;28,5;;0,093;0;0;;192;416;154;29,4;37,9;126;1,37;0,195;1,05;17,3;0,81;3,58;4,05;;;11,1;;;2,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40,7;;;;;;;;;;0;0;0;0;;0,905;;0,235;0;0,003;;;;;0;;;1,33;0,048;0;;0;;;;;;;2,277;;;0,235;;;;;;;;;;;;;1,143;1,378;2,512;5,033;0,235;2,277;0;0;;;;;;;;;0;;;;;;;;;
Hvedebrød, solsikkebrød;327;0;1135;271;5,7;1,583;9;9,9;49,4;44,4;43,5;0;5;5,1;0,73;0;1,7;65,1;34,9;;;;;;;;;;;;;0,261;;;0,125;1,72;;0,147;;;58;;;;;;;377;186;59,1;45,4;195;1,5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0,06;;0,442;0;0,2;0,024;0;0;;0,001;;0,011;;;0,836;0;;;0,018;;0;0;;0;;1,978;;;0,101;;0;0;;0;0,024;;0;0;0;;0;0,726;0,866;2,103;3,695;0,101;1,978;0;;380;681;222;144;158;475;206;253;103;443;348;206;301;396;3087;332;1061;36
